"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"4","1","63","levy","lognormal","20","3.5","525","62","1.7886595373127712","83.35455697348485"
"3","1","62","levy","lognormal","20","3.5","537","38","1.914837926070013","23.256255290679217"
"2","1","61","levy","lognormal","20","3.5","610","61","2.3353385907239206","44.863655001888866"
"1","1","60","levy","lognormal","20","3.5","707","68","1.8490287004880326","37.46681620269495"
"6","1","65","levy","lognormal","20","3.5","502","48","0.9864108820259521","58.58802908364306"
"5","1","64","levy","lognormal","20","3.5","596","69","2.3215838307368966","60.170849385718235"
"7","1","66","levy","lognormal","20","3.5","500","50","1.845130830001784","86.55102306929552"
"8","1","67","levy","lognormal","20","3.5","460","40","1.1879470164688772","45.26394230906879"
"11","1","70","levy","lognormal","20","3.5","366","57","2.496595689072258","71.44613580453942"
"9","1","68","levy","lognormal","20","3.5","598","56","1.7178060069474954","41.23146651327964"
"10","1","69","levy","lognormal","20","3.5","644","63","2.706223901873101","72.71486449316637"
"12","1","71","levy","lognormal","20","3.5","603","50","1.7763639127101385","60.385915530278055"
"14","1","73","levy","lognormal","20","3.5","468","68","2.1072943822776704","62.58239919759016"
"13","1","72","levy","lognormal","20","3.5","504","45","3.029313136328973","27.142574863752255"
"15","1","74","levy","lognormal","20","3.5","412","59","2.590550097584087","51.11243695636918"
"16","1","75","levy","lognormal","20","3.5","503","34","1.6610636609440332","41.39286309489325"
"17","1","76","levy","lognormal","20","3.5","423","46","1.672984434413313","31.74812473146157"
"18","1","77","levy","lognormal","20","3.5","462","18","1.520306002871508","37.81354805339627"
"19","1","78","levy","lognormal","20","3.5","439","38","2.078930359008816","60.331112861588956"
"21","1","80","levy","lognormal","20","3.5","339","55","1.8911527662325707","90.09798811154806"
"20","1","79","levy","lognormal","20","3.5","446","51","1.7262999300310433","109.00244212677052"
"22","1","81","levy","lognormal","20","3.5","365","58","2.0298285406927477","31.344185633327562"
"23","1","82","levy","lognormal","20","3.5","491","50","1.2648220865414839","53.47964947687411"
"25","1","84","levy","lognormal","20","3.5","387","58","2.0171417571204113","56.01723581314957"
"24","1","83","levy","lognormal","20","3.5","440","53","2.106270754831267","44.57829392901355"
"27","1","86","levy","lognormal","20","3.5","363","46","2.8722106535415257","74.14843045084625"
"28","1","87","levy","lognormal","20","3.5","331","46","1.9793378389408218","45.15669661821571"
"26","1","85","levy","lognormal","20","3.5","509","36","1.3373266229293819","33.538773986437185"
"29","1","88","levy","lognormal","20","3.5","466","38","2.0884113044169235","31.844322530261596"
"30","1","89","levy","lognormal","20","3.5","420","42","2.239123802609507","38.68832479654885"
"31","1","90","levy","lognormal","20","3.5","373","28","1.9133002741600222","18.386824559757795"
"35","1","94","levy","lognormal","20","3.5","342","38","1.1864392843708176","65.88774093374417"
"33","1","92","levy","lognormal","20","3.5","415","44","1.6956034409751437","66.65593056294713"
"32","1","91","levy","lognormal","20","3.5","543","46","1.91322513936721","78.9425700064484"
"34","1","93","levy","lognormal","20","3.5","454","55","1.8902713693547089","41.70539745999552"
"36","1","95","levy","lognormal","20","3.5","346","37","2.0622682910464034","46.235293523560486"
"37","1","96","levy","lognormal","20","3.5","390","44","2.0495694189753726","44.25560701539927"
"38","1","97","levy","lognormal","20","3.5","407","56","2.788022792225238","36.02621962413672"
"39","1","98","levy","lognormal","20","3.5","430","51","2.3978796366970627","112.72554183267317"
"40","1","99","levy","lognormal","20","3.5","437","45","1.3366861422109686","45.109163930653374"
"41","1","100","levy","lognormal","20","3.5","419","29","1.2172625957468117","67.78606189040838"
